Date,Expiry Date,Call Last,Call Bid,Call Ask,Put Last,Put Bid,Put Ask,Strike Price,Underlying Price
 2023-01-03, 2023-01-06,0.01,0.0,0.01,16.7,37.15,37.5,162.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,35.5,39.65,40.0,165.0,125.01
 2023-01-03, 2023-01-06,0.02,0.0,0.01,35.97,42.2,42.5,167.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,22.17,44.65,45.0,170.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,0.0,47.15,47.4,172.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,33.67,49.65,50.0,175.0,125.01
 2023-01-03, 2023-01-06,0.02,0.0,0.01,31.43,52.1,52.4,177.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,33.9,54.6,54.9,180.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,56.45,59.6,59.9,185.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,0.0,64.65,64.9,190.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,66.8,69.65,70.0,195.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,71.06,74.65,74.95,200.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,73.38,79.65,80.0,205.0,125.01
 2023-01-03, 2023-01-06,0.0,0.0,0.01,0.0,84.65,84.9,210.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,86.2,89.65,89.85,215.0,125.01
 2023-01-03, 2023-01-06,0.0,0.0,0.01,0.0,94.65,95.0,220.0,125.01
 2023-01-03, 2023-01-06,0.0,0.0,0.01,0.0,99.6,99.9,225.0,125.01
 2023-01-03, 2023-01-06,0.0,0.0,0.01,93.23,104.6,104.9,230.0,125.01
 2023-01-03, 2023-01-06,0.0,0.0,0.01,0.0,109.6,109.9,235.0,125.01
 2023-01-03, 2023-01-06,0.0,0.0,0.01,0.0,114.65,114.85,240.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,115.1,119.65,119.85,245.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,121.1,124.65,124.85,250.0,125.01
 2023-01-03, 2023-01-13,74.6,75.2,75.5,0.01,0.0,0.01,50.0,125.01
 2023-01-03, 2023-01-13,0.0,70.1,70.45,0.0,0.0,0.01,55.0,125.01
 2023-01-03, 2023-01-13,76.65,65.1,65.45,0.0,0.0,0.01,60.0,125.01
 2023-01-03, 2023-01-13,0.0,60.2,60.55,0.01,0.0,0.01,65.0,125.01
 2023-01-03, 2023-01-13,0.0,55.2,55.5,0.02,0.0,0.01,70.0,125.01
 2023-01-03, 2023-01-13,52.64,50.2,50.5,0.01,0.0,0.02,75.0,125.01
